table_name,column_name,foreign_table_name,foreign_column_name
rooms,ward_id,wards,id
devices,stock_area_id,stock_areas,id
devices,room_id,rooms,id
device_models,device_type_id,device_types,id
maintenance_types,device_type_id,device_types,id
maintenance_types,device_model_id,device_models,id
maintenance_types,hospital_id,hospitals,id
device_maintenance_tasks,device_id,devices,id
device_maintenance_tasks,maintenance_type_id,maintenance_types,id
device_maintenance_logs,device_id,devices,id
device_maintenance_logs,maintenance_type_id,maintenance_types,id
device_maintenance_logs,task_id,device_maintenance_tasks,id
device_histories,room_id,rooms,id
device_histories,stock_area_id,stock_areas,id
users,hospital_id,hospitals,id
devices,hospital_id,hospitals,id
device_histories,hospital_id,hospitals,id
wards,hospital_id,hospitals,id
rooms,hospital_id,hospitals,id
device_types,hospital_id,hospitals,id
device_models,hospital_id,hospitals,id
stock_areas,hospital_id,hospitals,id
device_maintenance_logs,hospital_id,hospitals,id
device_maintenance_tasks,hospital_id,hospitals,id
device_histories,action_by,users,id
devices,created_by,users,id
devices,updated_by,users,id
invite_codes,created_by,users,id
